Date,Close/Last,Volume,Open,High,Low
12/18/2020,$154.51,17137230,$153.65,$155.1,$151.67
12/17/2020,$153.62,9920312,$150.09,$153.885,$149.955
12/16/2020,$149.67,8486069,$150.2,$150.92,$149.55
12/15/2020,$150.57,7614746,$150,$150.75,$149.53
12/14/2020,$149.07,8547296,$153.25,$153.48,$148.99
12/11/2020,$152.95,5973255,$151.53,$153.41,$151.23
12/10/2020,$152.25,7392928,$152.82,$152.98,$151.68
12/09/2020,$153.1,8440069,$152.83,$153.5,$151.755
12/08/2020,$151.55,8339847,$150,$152.14,$149.55
12/07/2020,$148.97,6634743,$149.35,$149.91,$148.51
12/04/2020,$150.27,6747083,$149.79,$150.31,$149.27
12/03/2020,$149,7310486,$148.04,$149.58,$147.69
12/02/2020,$148.14,7745516,$147.85,$149.71,$147.7
12/01/2020,$147.45,9741260,$146.29,$149.13,$145.86
11/30/2020,$144.68,15663240,$144.23,$144.86,$143.06
11/27/2020,$144,3059001,$144.5,$144.6583,$143.22
11/25/2020,$143.68,7594618,$144.06,$144.17,$142.86
11/24/2020,$143.87,11038820,$144,$144.765,$143.61
11/23/2020,$143.87,7318255,$146.01,$146.01,$143.04
11/20/2020,$146.36,6356142,$147.05,$147.94,$146.13
11/19/2020,$147.14,7987716,$147.3,$147.46,$145.5869
11/18/2020,$147.37,6661008,$148.87,$149.76,$147.37
11/17/2020,$149.35,7297736,$150,$150.63,$149.12
11/16/2020,$150.85,6266384,$150.92,$151.3,$149.801
11/13/2020,$149.9,5896537,$149.09,$150.41,$148.41
11/12/2020,$148.3,4712177,$147.61,$148.65,$146.7536
11/11/2020,$147.8,6382407,$149.17,$149.2,$146.86
11/10/2020,$148.28,7386462,$147.25,$148.75,$146.26
11/09/2020,$146.08,12351640,$148.425,$148.99,$144.92
11/06/2020,$142.25,5942538,$140.4,$143.19,$139.65
11/05/2020,$139.76,8016160,$140.55,$141.83,$139.26
11/04/2020,$139.4,10263520,$139.49,$142.54,$138.7
11/03/2020,$138.5,6362978,$140.02,$140.96,$137.78
11/02/2020,$138.69,7088029,$138.98,$139.01,$137.49
10/30/2020,$137.11,7364752,$136.68,$137.54,$133.65
10/29/2020,$137.19,7205409,$138,$138.7,$136.05
10/28/2020,$138.36,8426065,$141.425,$141.98,$138.18
10/27/2020,$143.15,4890064,$143.74,$144.29,$142.92
10/26/2020,$143.97,6929472,$144.43,$144.77,$142.75
10/23/2020,$145.24,4154372,$145.88,$147.47,$144.35
10/22/2020,$145.08,5280253,$144.16,$145.69,$143.84
10/21/2020,$143.93,5221348,$144.12,$145.34,$143.91
10/20/2020,$144.55,5326540,$144.66,$145.75,$144.12
10/19/2020,$144.32,7250755,$148.53,$148.9,$144.13
10/16/2020,$148.1,6098404,$147.6,$148.76,$147.01
10/15/2020,$147.19,5979015,$147.48,$147.9,$146.33
10/14/2020,$148.1,7707047,$148.82,$149.03,$147.39
10/13/2020,$148.36,11057570,$149,$150.12,$147.77
10/12/2020,$151.84,7273170,$151.6,$153.142,$151.02
10/09/2020,$150.97,5054116,$149.65,$151.48,$149.445
10/08/2020,$148.89,4413531,$148.5,$149.85,$148.04
10/07/2020,$147.88,5603123,$146.49,$148.23,$145.81
10/06/2020,$146.26,5118212,$148.28,$148.61,$145.87
10/05/2020,$148.23,4992758,$147,$148.38,$146.42
10/02/2020,$146.24,5485602,$146.21,$148.41,$145.83
10/01/2020,$147.32,6457808,$149.31,$149.65,$146.46
09/30/2020,$148.88,8487691,$147.45,$149.73,$146.84
09/29/2020,$147.06,6771016,$147.6,$147.92,$146.06
09/28/2020,$147.11,5843189,$146.73,$148.29,$146.42
09/25/2020,$145.66,5531209,$144,$146.25,$143.89
09/24/2020,$144.67,5614844,$144.56,$145.25,$143.34
09/23/2020,$144.44,8784436,$147.48,$147.55,$144.38
09/22/2020,$144.21,5295917,$144.69,$145.35,$143.72
09/21/2020,$145.1,7574501,$147.58,$147.93,$142.96
09/18/2020,$149.18,12174040,$146.51,$149.65,$146.2
09/17/2020,$147.17,5461414,$148.04,$148.63,$146.05
09/16/2020,$148.4,4323502,$149.39,$150.06,$148.3501
09/15/2020,$148.89,3659221,$149.45,$150.59,$148.52
09/14/2020,$148.35,4375798,$148.12,$149.47,$148.01
09/11/2020,$147.78,3934691,$147.05,$148.53,$146.63
09/10/2020,$146.91,6191800,$149.25,$149.78,$146.52
09/09/2020,$149.7,6960668,$148.15,$151.1,$148.12
09/08/2020,$147.26,8756842,$150.25,$150.89,$146.9
09/04/2020,$148.59,7200065,$150.17,$150.95,$147.13
09/03/2020,$149.55,8672808,$154.83,$155.47,$148.3
09/02/2020,$153.83,6881856,$150.79,$154.33,$149.245
09/01/2020,$151.52,6309237,$153.87,$154.08,$150.07
08/31/2020,$153.41,6362683,$153,$154.4,$152.2605
08/28/2020,$153.64,5395684,$152.74,$153.7,$151.9
08/27/2020,$152.98,5575432,$152.42,$153.26,$151.89
08/26/2020,$152.3,8008292,$151.86,$152.65,$150.64
08/25/2020,$152.06,3863477,$152.78,$153.07,$151.535
08/24/2020,$152.15,5387937,$152.74,$152.9,$150.35
08/21/2020,$152.76,6722759,$151.78,$153.65,$150.5901
08/20/2020,$151.42,4874739,$149.75,$151.58,$149.5457
08/19/2020,$150.39,7816251,$149.58,$151.58,$149.32
08/18/2020,$150.09,4322567,$149.26,$150.1,$148.57
08/17/2020,$148.99,4306909,$148.32,$150.23,$148.23
08/14/2020,$148.24,4240189,$147.61,$149.34,$147.58
08/13/2020,$148,5155457,$148.54,$149.19,$147.53
08/12/2020,$149.66,5258127,$147.54,$150.24,$147.49
08/11/2020,$146.97,6388389,$149.14,$149.23,$146.37
08/10/2020,$148.03,4096620,$148.86,$149.01,$147.72
08/07/2020,$148.6,3635071,$147.51,$148.65,$147.15
08/06/2020,$147.55,4837865,$148.4,$149.25,$146.5
08/05/2020,$148.4,5493196,$149.1,$149.31,$147.8
08/04/2020,$147.22,4162154,$146.99,$147.22,$145.8247
08/03/2020,$147.35,4079755,$146.39,$147.79,$146.15
07/31/2020,$145.76,8257997,$146.66,$147.45,$143.96
07/30/2020,$146.84,5922481,$147.44,$147.5,$146.14
07/29/2020,$146.54,4489147,$146.39,$147.47,$146.07
07/28/2020,$146.83,4842184,$147.4,$147.99,$146.75
07/27/2020,$147.18,5675155,$147.37,$148.92,$146.86
07/24/2020,$148.12,5405867,$150.5,$150.6,$147.03
07/23/2020,$149.61,6566269,$150.21,$150.85,$149.28
07/22/2020,$150.01,5910193,$149.93,$150.405,$147.85
07/21/2020,$149.74,5579687,$149.6,$151.6695,$149.5
07/20/2020,$149.6,6191457,$150.23,$150.32,$148.43
07/17/2020,$149.35,7444124,$150,$150.5776,$148.69
07/16/2020,$149.25,9304669,$148.68,$149.34,$146.68
07/15/2020,$148.26,8512838,$149.73,$150.205,$148.23
07/14/2020,$147.92,7447125,$145.32,$148.39,$145.26
07/13/2020,$145.21,6951941,$143.61,$146.639,$143.28
07/10/2020,$142.37,4282406,$142.75,$142.87,$141.425
07/09/2020,$142.49,5738564,$142.76,$144.425,$140.58
07/08/2020,$143.27,6257537,$142.87,$143.39,$141.7
07/07/2020,$142.85,5622609,$141.39,$143.97,$141.23
07/06/2020,$142.98,6156354,$142.17,$143.77,$141.88
07/02/2020,$140.97,5152238,$141.25,$141.8386,$140.33
07/01/2020,$140.38,6175020,$140.69,$141.39,$140.06
06/30/2020,$140.63,7738296,$139.4,$141.02,$137.84
06/29/2020,$139.04,5309797,$138.74,$139.7,$137.98
06/26/2020,$137.81,12849740,$139.53,$139.6,$137.02
06/25/2020,$139.67,7421160,$140.57,$140.57,$137.54
06/24/2020,$139.82,8211239,$141.49,$142.19,$138.72
06/23/2020,$142.86,5921594,$143.74,$144.08,$142.68
06/22/2020,$143.39,5285631,$143.47,$143.66,$142.03
06/19/2020,$143.83,12194090,$145.79,$145.88,$143.25
06/18/2020,$143.41,4797449,$142.52,$144.115,$141.87
06/17/2020,$144.02,5100095,$144.9,$145.42,$143.47
06/16/2020,$144.46,7582631,$144.09,$145.4219,$142.77
06/15/2020,$141.25,8655014,$141,$142.397,$139.3914
06/12/2020,$142.15,8687356,$142.84,$143.7067,$140.28
06/11/2020,$140.87,11913270,$148.58,$149.17,$140.75
06/10/2020,$147.8,10137070,$146.6,$150.03,$146.6
06/09/2020,$145.96,8247233,$148.25,$149.33,$145.65
06/08/2020,$146.77,7555622,$145.88,$147.61,$145.74
06/05/2020,$147.3,9725441,$147.69,$149.64,$146.6
